State,%HS Grads,%Voted Trump,Hispanic%,White%,Black%,Asian%,KKK,White Nationalism,Holocaust Denial,Neo Confederate,Neo Nazi,Skin Head
Alabama,0.821,0.63,4,66,26,1,5,2,0,5,3,0
Arizona,0.842,0.5,30,56,4,3,0,5,0,0,2,1
Arkansas,0.824,0.6,7,74,15,1,2,0,0,1,0,1
California,0.806,0.33,38,39,6,14,2,8,3,0,6,10
Colorado,0.893,0.44,21,69,4,3,2,1,0,0,2,1
Connecticut,0.886,0.41,15,69,10,4,0,0,0,0,2,0
Florida,0.853,0.49,24,56,15,3,5,4,1,6,5,4
Georgia,0.839,0.51,9,55,31,4,4,4,0,1,5,3
Idaho,0.884,0.59,12,83,1,1,1,1,1,0,1,2
Illinois,0.864,0.39,16,62,14,5,1,2,0,0,8,0
Indiana,0.866,0.57,6,81,9,2,3,5,0,0,5,5
Iowa,0.914,0.52,5,87,3,2,0,0,0,0,1,0
Kansas,0.897,0.57,11,77,6,3,0,0,0,0,1,1
Kentucky,0.817,0.63,3,86,8,1,2,0,0,1,2,0
Louisiana,0.822,0.58,5,59,32,2,0,0,0,0,1,1
Maine,0.902,0.45,1,94,1,1,1,1,0,0,0,1
Maryland,0.89,0.35,9,53,29,6,3,3,1,0,1,2
Massachusetts,0.89,0.34,11,74,6,6,0,0,0,0,2,0
Michigan,0.879,0.48,5,76,14,3,1,5,1,0,6,1
Minnesota,0.915,0.45,5,82,5,4,0,2,0,0,1,1
Mississippi,0.804,0.58,3,57,37,1,7,0,0,3,1,0
Missouri,0.868,0.57,4,80,11,2,1,2,0,0,3,1
Montana,0.908,0.57,3,87,0,1,0,3,0,0,1,0
Nebraska,0.898,0.6,10,81,5,2,0,1,0,0,4,0
Nevada,0.839,0.46,28,52,8,8,0,1,0,0,3,0
New Hampshire,0.913,0.47,3,91,1,2,0,0,0,0,2,3
New Jersey,0.874,0.42,19,57,13,9,0,2,0,0,2,2
New Mexico,0.828,0.4,47,39,2,1,0,0,0,0,0,0
New York,0.847,0.37,18,57,14,8,2,7,1,0,4,3
North Carolina,0.843,0.51,9,64,21,2,4,1,0,2,3,5
Ohio,0.876,0.52,3,80,12,2,4,0,0,0,7,0
Oklahoma,0.856,0.65,10,67,7,2,0,0,0,0,2,0
Oregon,0.891,0.41,12,77,2,4,1,3,0,0,3,4
Pennsylvania,0.879,0.49,6,78,11,3,4,5,1,0,4,6
Rhode Island,0.847,0.4,14,75,5,3,0,0,0,0,2,0
South Carolina,0.836,0.55,5,64,27,1,1,3,0,2,2,0
Tennessee,0.831,0.61,5,75,17,2,6,2,0,6,3,3
Texas,0.799,0.53,38,44,12,4,4,6,1,2,4,1
Utah,0.904,0.47,13,79,1,2,0,0,0,0,1,0
Virginia,0.866,0.45,9,63,19,6,3,10,0,2,3,4
Washington,0.897,0.38,12,71,3,8,2,5,0,0,2,4
West Virginia,0.828,0.69,1,93,3,1,1,0,0,0,2,0
Wisconsin,0.898,0.48,6,82,6,2,0,0,0,0,4,0
